feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
bi_only	xgboost	3	5	0.7229166666666667	0.29635909789135595	0.6625	0.11983038485050201	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	ridge_logreg	1	1	0.7348484848484849	0.3333006453679125	0.7357954545454546	0.45550011226424725	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	2	0.7386363636363636	0.43882390043914543	0.7386363636363636	0.4885124208832919	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	3	0.7575757575757576	0.4745065714501452	0.6164772727272727	0.5044008327942143	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	4	0.6950354609929079	0.34150992718893186	0.7774822695035462	0.4963486420186819	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	5	0.9083333333333334	0.6053006051919096	0.8125	0.4421154939511528	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	1	0.740530303030303	0.4249208367390186	0.5814393939393939	0.551966550080781	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	2	0.7897727272727273	0.4024831205436389	0.7670454545454546	0.448851766592515	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	3	0.6458333333333334	0.2977271196345692	0.7073863636363636	0.45008101283903307	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	4	0.8847517730496454	0.623753829016987	0.8519503546099291	0.49809797696759733	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	5	0.7895833333333333	0.33968647188898904	0.7916666666666667	0.4949944194168843	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	1	0.7462121212121211	0.4036850012347433	0.7320075757575758	0.48272153755131386	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	2	0.7803030303030303	0.4016359299145432	0.7736742424242424	0.48152539023412244	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	3	0.8446969696969696	0.4354956261176357	0.8229166666666667	0.4873685267274559	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	4	0.7819148936170212	0.6481137103022486	0.7579787234042553	0.46053216860723073	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	5	0.7020833333333333	0.2649208358609887	0.6125	0.5257303292652975	"{""model__C"": 0.01}"
clinical_plus_bi	elastic_net_logreg	1	1	0.7367424242424242	0.3767928829777971	0.7566287878787878	0.47366572104182164	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	1	2	0.7178030303030304	0.36596469007183297	0.728219696969697	0.4367319438025672	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_plus_bi	elastic_net_logreg	1	3	0.7575757575757576	0.44713036391526095	0.6164772727272727	0.4468688718705336	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_plus_bi	elastic_net_logreg	1	4	0.702127659574468	0.3351033021326986	0.7668439716312057	0.44838790964238834	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	1	5	0.8958333333333334	0.5400216450216451	0.79375	0.46609741787784414	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	2	1	0.7215909090909091	0.3911346624390103	0.5918560606060606	0.4945359442630811	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	2	2	0.7878787878787878	0.3880111410955567	0.7982954545454546	0.49620126541791476	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	2	3	0.6837121212121211	0.3111331564433456	0.7073863636363636	0.45947249099704535	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	2	4	0.8457446808510638	0.5538497443102707	0.8200354609929078	0.43075823720228595	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_plus_bi	elastic_net_logreg	2	5	0.7916666666666666	0.3410671993411931	0.8020833333333333	0.4966316715196909	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	3	1	0.7215909090909091	0.37167811922786126	0.6903409090909092	0.44018109811590955	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	3	2	0.793560606060606	0.3788276108143581	0.7736742424242424	0.48968130763107526	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	3	3	0.8617424242424242	0.47098982888456575	0.84375	0.4970501206819598	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	3	4	0.797872340425532	0.5705677384248813	0.7579787234042553	0.44780865573408757	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	3	5	0.7041666666666667	0.2671169649990416	0.6020833333333333	0.49435175350958815	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	linear_svm	1	1	0.7443181818181819	0.3675165917328927	0.7462121212121212	0.15013427261237966	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	1	2	0.7651515151515151	0.41092175488362426	0.6827651515151515	0.16388103078700883	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	1	3	0.7518939393939394	0.4908349479449224	0.6410984848484849	0.14896848768232956	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	1	4	0.7092198581560283	0.4179705954423502	0.6631205673758864	0.21358685592359195	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	1	5	0.8916666666666667	0.5297282608695653	0.8541666666666667	0.1701497253091407	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	2	1	0.7329545454545454	0.42928313411493413	0.606060606060606	0.1944285001619583	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	2	2	0.7859848484848484	0.40268382487918275	0.7670454545454546	0.1401791222077467	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	2	3	0.6950757575757575	0.35969892680418997	0.7073863636363636	0.15212872205570416	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	2	4	0.9024822695035462	0.67984237554671	0.8829787234042553	0.15188519903078382	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	2	5	0.7791666666666666	0.33788700430004776	0.7916666666666667	0.17023052029752536	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	3	1	0.7433712121212122	0.379969691280615	0.7774621212121212	0.13158123887583587	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	3	2	0.7916666666666666	0.4071374102333855	0.7736742424242424	0.15943304375950665	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	3	3	0.8560606060606061	0.46233182022655706	0.8229166666666667	0.16827113661748025	"{""model__C"": 0.01}"
