feature	gain	feature_set	model	repeat	fold
clinical_t_stage_T0	0.0	clinical_only	xgboost	2	3
er_status_ihc_esr1_for indeterminate_N	0.14758383	clinical_only	xgboost	2	4
grade_3	0.13475032	clinical_only	xgboost	2	4
clinical_t_stage_T3	0.069235675	clinical_only	xgboost	2	4
clinical_t_stage_T4	0.0508202	clinical_only	xgboost	2	4
er_status_ihc_esr1_for indeterminate_P	0.050220862	clinical_only	xgboost	2	4
age_years	0.049318407	clinical_only	xgboost	2	4
clinical_ajcc_stage_IIIA	0.04603437	clinical_only	xgboost	2	4
grade_2	0.043774087	clinical_only	xgboost	2	4
clinical_nodal_status_N2	0.04368399	clinical_only	xgboost	2	4
clinical_nodal_status_N3	0.042829428	clinical_only	xgboost	2	4
clinical_nodal_status_N1	0.04241004	clinical_only	xgboost	2	4
clinical_t_stage_T2	0.042121965	clinical_only	xgboost	2	4
clinical_ajcc_stage_IIA	0.040714715	clinical_only	xgboost	2	4
grade_Indeterminate	0.03664811	clinical_only	xgboost	2	4
clinical_ajcc_stage_IIIB	0.035792835	clinical_only	xgboost	2	4
clinical_t_stage_T1	0.031728137	clinical_only	xgboost	2	4
clinical_nodal_status_N0	0.03157758	clinical_only	xgboost	2	4
clinical_ajcc_stage_IIB	0.029635577	clinical_only	xgboost	2	4
grade_1	0.020033404	clinical_only	xgboost	2	4
clinical_ajcc_stage_IIIC	0.0110865235	clinical_only	xgboost	2	4
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	2	4
clinical_t_stage_T0	0.0	clinical_only	xgboost	2	4
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	2	4
er_status_ihc_esr1_for indeterminate_N	0.13694659	clinical_only	xgboost	2	5
grade_3	0.11425004	clinical_only	xgboost	2	5
grade_2	0.10098637	clinical_only	xgboost	2	5
er_status_ihc_esr1_for indeterminate_P	0.083927095	clinical_only	xgboost	2	5
clinical_t_stage_T3	0.050571803	clinical_only	xgboost	2	5
grade_Indeterminate	0.048579145	clinical_only	xgboost	2	5
age_years	0.04639465	clinical_only	xgboost	2	5
clinical_t_stage_T2	0.0413095	clinical_only	xgboost	2	5
clinical_t_stage_T4	0.041269664	clinical_only	xgboost	2	5
clinical_nodal_status_N0	0.040477123	clinical_only	xgboost	2	5
clinical_ajcc_stage_IIB	0.03532342	clinical_only	xgboost	2	5
clinical_ajcc_stage_IIIA	0.033277422	clinical_only	xgboost	2	5
clinical_nodal_status_N3	0.03183559	clinical_only	xgboost	2	5
clinical_ajcc_stage_IIIB	0.031246658	clinical_only	xgboost	2	5
grade_1	0.029772189	clinical_only	xgboost	2	5
clinical_t_stage_T1	0.029460631	clinical_only	xgboost	2	5
clinical_nodal_status_N2	0.028303795	clinical_only	xgboost	2	5
clinical_ajcc_stage_IIIC	0.02602415	clinical_only	xgboost	2	5
clinical_ajcc_stage_IIA	0.020596888	clinical_only	xgboost	2	5
clinical_ajcc_stage_I	0.0155382315	clinical_only	xgboost	2	5
clinical_nodal_status_N1	0.013909069	clinical_only	xgboost	2	5
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	2	5
clinical_t_stage_T0	0.0	clinical_only	xgboost	2	5
er_status_ihc_esr1_for indeterminate_N	0.16317105	clinical_only	xgboost	3	1
grade_3	0.1325832	clinical_only	xgboost	3	1
er_status_ihc_esr1_for indeterminate_P	0.13238151	clinical_only	xgboost	3	1
clinical_nodal_status_N1	0.05677743	clinical_only	xgboost	3	1
clinical_t_stage_T3	0.050596103	clinical_only	xgboost	3	1
age_years	0.04475254	clinical_only	xgboost	3	1
grade_2	0.043570403	clinical_only	xgboost	3	1
clinical_ajcc_stage_IIA	0.04243609	clinical_only	xgboost	3	1
clinical_nodal_status_N2	0.041458994	clinical_only	xgboost	3	1
clinical_nodal_status_N3	0.03972247	clinical_only	xgboost	3	1
clinical_ajcc_stage_IIIA	0.039140664	clinical_only	xgboost	3	1
clinical_nodal_status_N0	0.03799134	clinical_only	xgboost	3	1
grade_Indeterminate	0.034013223	clinical_only	xgboost	3	1
clinical_t_stage_T4	0.03324982	clinical_only	xgboost	3	1
clinical_ajcc_stage_IIIB	0.032577537	clinical_only	xgboost	3	1
clinical_ajcc_stage_IIB	0.030343829	clinical_only	xgboost	3	1
clinical_t_stage_T2	0.029290615	clinical_only	xgboost	3	1
grade_1	0.015943184	clinical_only	xgboost	3	1
clinical_t_stage_T0	0.0	clinical_only	xgboost	3	1
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	3	1
clinical_ajcc_stage_IIIC	0.0	clinical_only	xgboost	3	1
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	3	1
clinical_t_stage_T1	0.0	clinical_only	xgboost	3	1
er_status_ihc_esr1_for indeterminate_N	0.18158157	clinical_only	xgboost	3	2
grade_3	0.09194375	clinical_only	xgboost	3	2
er_status_ihc_esr1_for indeterminate_P	0.08552993	clinical_only	xgboost	3	2
grade_2	0.072795086	clinical_only	xgboost	3	2
clinical_t_stage_T3	0.057651743	clinical_only	xgboost	3	2
clinical_t_stage_T4	0.054621305	clinical_only	xgboost	3	2
grade_Indeterminate	0.05183475	clinical_only	xgboost	3	2
age_years	0.045745548	clinical_only	xgboost	3	2
clinical_ajcc_stage_IIIB	0.040674653	clinical_only	xgboost	3	2
clinical_t_stage_T2	0.03920997	clinical_only	xgboost	3	2
clinical_nodal_status_N0	0.03730613	clinical_only	xgboost	3	2
clinical_ajcc_stage_IIIA	0.037023958	clinical_only	xgboost	3	2
clinical_ajcc_stage_IIB	0.03458126	clinical_only	xgboost	3	2
clinical_nodal_status_N3	0.033430096	clinical_only	xgboost	3	2
clinical_nodal_status_N2	0.028965408	clinical_only	xgboost	3	2
clinical_t_stage_T1	0.02759293	clinical_only	xgboost	3	2
grade_1	0.025788052	clinical_only	xgboost	3	2
clinical_ajcc_stage_IIIC	0.024729636	clinical_only	xgboost	3	2
clinical_nodal_status_N1	0.017094297	clinical_only	xgboost	3	2
clinical_ajcc_stage_IIA	0.011900008	clinical_only	xgboost	3	2
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	3	2
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	3	2
clinical_t_stage_T0	0.0	clinical_only	xgboost	3	2
er_status_ihc_esr1_for indeterminate_N	0.17256427	clinical_only	xgboost	3	3
grade_3	0.11217685	clinical_only	xgboost	3	3
clinical_t_stage_T3	0.07079714	clinical_only	xgboost	3	3
clinical_t_stage_T4	0.06694256	clinical_only	xgboost	3	3
grade_2	0.065112524	clinical_only	xgboost	3	3
age_years	0.063503146	clinical_only	xgboost	3	3
clinical_nodal_status_N2	0.051727623	clinical_only	xgboost	3	3
clinical_ajcc_stage_IIIA	0.05137677	clinical_only	xgboost	3	3
er_status_ihc_esr1_for indeterminate_P	0.045878224	clinical_only	xgboost	3	3
clinical_t_stage_T2	0.04335323	clinical_only	xgboost	3	3
grade_1	0.03946703	clinical_only	xgboost	3	3
clinical_ajcc_stage_IIB	0.031928796	clinical_only	xgboost	3	3
clinical_nodal_status_N3	0.03180093	clinical_only	xgboost	3	3
clinical_t_stage_T1	0.031218335	clinical_only	xgboost	3	3
clinical_nodal_status_N1	0.029701212	clinical_only	xgboost	3	3
clinical_nodal_status_N0	0.025958043	clinical_only	xgboost	3	3
clinical_ajcc_stage_IIA	0.02482522	clinical_only	xgboost	3	3
clinical_ajcc_stage_IIIB	0.024068154	clinical_only	xgboost	3	3
clinical_ajcc_stage_IIIC	0.017599996	clinical_only	xgboost	3	3
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	3	3
clinical_t_stage_T0	0.0	clinical_only	xgboost	3	3
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	3	3
grade_Indeterminate	0.0	clinical_only	xgboost	3	3
er_status_ihc_esr1_for indeterminate_N	0.12826481	clinical_only	xgboost	3	4
grade_3	0.10173506	clinical_only	xgboost	3	4
grade_2	0.09665098	clinical_only	xgboost	3	4
clinical_ajcc_stage_IIB	0.07405223	clinical_only	xgboost	3	4
er_status_ihc_esr1_for indeterminate_P	0.061570816	clinical_only	xgboost	3	4
clinical_t_stage_T4	0.060504828	clinical_only	xgboost	3	4
clinical_t_stage_T2	0.0577927	clinical_only	xgboost	3	4
grade_Indeterminate	0.05532511	clinical_only	xgboost	3	4
clinical_t_stage_T3	0.047189884	clinical_only	xgboost	3	4
age_years	0.047098596	clinical_only	xgboost	3	4
clinical_ajcc_stage_IIA	0.04018297	clinical_only	xgboost	3	4
clinical_ajcc_stage_IIIA	0.03761829	clinical_only	xgboost	3	4
clinical_nodal_status_N1	0.03592662	clinical_only	xgboost	3	4
clinical_nodal_status_N3	0.034499206	clinical_only	xgboost	3	4
clinical_ajcc_stage_IIIC	0.033404507	clinical_only	xgboost	3	4
clinical_nodal_status_N2	0.028346155	clinical_only	xgboost	3	4
clinical_t_stage_T1	0.020727476	clinical_only	xgboost	3	4
clinical_ajcc_stage_IIIB	0.020133335	clinical_only	xgboost	3	4
grade_1	0.018976388	clinical_only	xgboost	3	4
clinical_nodal_status_N0	0.0	clinical_only	xgboost	3	4
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	3	4
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	3	4
clinical_t_stage_T0	0.0	clinical_only	xgboost	3	4
er_status_ihc_esr1_for indeterminate_N	0.19791979	clinical_only	xgboost	3	5
grade_3	0.09591032	clinical_only	xgboost	3	5
clinical_ajcc_stage_IIIA	0.070154	clinical_only	xgboost	3	5
clinical_nodal_status_N3	0.056498867	clinical_only	xgboost	3	5
grade_Indeterminate	0.051530585	clinical_only	xgboost	3	5
er_status_ihc_esr1_for indeterminate_P	0.048786264	clinical_only	xgboost	3	5
clinical_nodal_status_N1	0.04797873	clinical_only	xgboost	3	5
age_years	0.044779185	clinical_only	xgboost	3	5
clinical_ajcc_stage_IIB	0.042247824	clinical_only	xgboost	3	5
clinical_nodal_status_N2	0.040827166	clinical_only	xgboost	3	5
clinical_t_stage_T2	0.036993925	clinical_only	xgboost	3	5
grade_2	0.033404883	clinical_only	xgboost	3	5
clinical_t_stage_T4	0.033081353	clinical_only	xgboost	3	5
clinical_nodal_status_N0	0.03292206	clinical_only	xgboost	3	5
clinical_ajcc_stage_IIA	0.032912992	clinical_only	xgboost	3	5
clinical_ajcc_stage_IIIB	0.03250228	clinical_only	xgboost	3	5
clinical_t_stage_T3	0.028831402	clinical_only	xgboost	3	5
clinical_ajcc_stage_IIIC	0.028189577	clinical_only	xgboost	3	5
clinical_ajcc_stage_I	0.018371593	clinical_only	xgboost	3	5
grade_1	0.016623434	clinical_only	xgboost	3	5
clinical_t_stage_T1	0.009533762	clinical_only	xgboost	3	5
clinical_t_stage_T0	0.0	clinical_only	xgboost	3	5
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	3	5
