ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0090232	positive regulation of spindle checkpoint	4/430	12/11986	0.333333333333333	9.29147286821705	5.54309294095155	0.000642814633800465	0.0166669650476238	0.0154478948459926	CDCA8/AURKB/MAD2L1/NDC80	4
GO:0051054	positive regulation of DNA metabolic process	20/430	250/11986	0.08	2.22995348837209	3.79095058011907	0.00068480846217492	0.0176404881132981	0.0163502116088653	USP1/RFC4/MSH2/SKP2/CDT1/CEBPG/LPIN1/CCNA2/AURKB/RAD51AP1/FOXM1/VEGFA/CDK1/PELI1/FAF1/MYC/E2F8/NEK2/RGCC/EYA2	20
GO:0061640	cytoskeleton-dependent cytokinesis	11/430	97/11986	0.11340206185567	3.16101654279549	4.12212137610561	0.00068989891407483	0.0176569612395797	0.0163654798428753	STMN1/CDCA8/KIF4A/CEP55/PLK1/AURKB/KIF20A/NUSAP1/ECT2/RACGAP1/KIF23	11
GO:0007019	microtubule depolymerization	7/430	43/11986	0.162790697674419	4.53769605191996	4.48278085970833	0.000766591553503095	0.0194940300817101	0.0180681801375594	TPX2/STMN1/KIF18B/KIF2C/AURKB/KIF18A/MID1	7
GO:0006281	DNA repair	32/430	492/11986	0.0650406504065041	1.81297031574967	3.5519850051693	0.000834071692985823	0.0210749197839157	0.0195334389782064	DEK/USP1/MCM2/RFC4/MCM6/CHAF1B/MSH2/MCM5/FEN1/SKP2/CEBPG/PSME4/HMGA1/PLK1/CHEK1/RAD51AP1/FOXM1/HMGB2/TRIP13/FANCG/CDC45/CDK1/PELI1/FIRRM/FANCA/NUDT1/ERCC6L/RFWD3/BARD1/MSH5/BRIP1/EYA2	32
GO:0010639	negative regulation of organelle organization	22/430	293/11986	0.0750853242320819	2.09295975871101	3.65362935412515	0.00088273088485037	0.0221632494949457	0.0205421650951522	TTK/TPX2/CDC20/STMN1/KANK1/CDCA8/BUB1/PLK1/CHEK1/AURKB/PFN2/CDK5RAP2/MAD2L1/TRIP13/NDC80/CENPF/MID1/SKA1/KNTC1/SPDL1/SPTBN2/DMRT1	22
GO:0045931	positive regulation of mitotic cell cycle	11/430	100/11986	0.11	3.06618604651163	4.0022207726244	0.000892420054530056	0.0222067347666881	0.0205824697278977	TFDP1/CDC20/CCNE1/RRM2/SPHK1/DLGAP5/CDK1/SKA1/CCNE2/AURKA/RGCC	11
GO:0044771	meiotic cell cycle phase transition	4/430	13/11986	0.307692307692308	8.57674418604651	5.27232641086159	0.000902349815530538	0.0222067347666881	0.0205824697278977	TTK/CDC20/CCNB2/NDC80	4
GO:0051382	kinetochore assembly	4/430	13/11986	0.307692307692308	8.57674418604651	5.27232641086159	0.000902349815530538	0.0222067347666881	0.0205824697278977	CENPE/DLGAP5/CENPF/KNTC1	4
GO:0097530	granulocyte migration	13/430	132/11986	0.0984848484848485	2.74520789288231	3.88911829277752	0.000906854306075995	0.0222067347666881	0.0205824697278977	PERP/MDK/VEGFA/CXCL10/CX3CL1/CCL2/CXADR/CCL8/CCL3/CCL4/CCL7/CXCL9/CXCL13	13
GO:1901992	positive regulation of mitotic cell cycle phase transition	9/430	71/11986	0.126760563380282	3.53337700622339	4.12982316354849	0.000937758884687194	0.0228226349420497	0.0211533211767024	TFDP1/CDC20/CCNE1/RRM2/DLGAP5/CDK1/SKA1/CCNE2/RGCC	9
GO:0031589	cell-substrate adhesion	23/430	315/11986	0.073015873015873	2.0352750092285	3.59175291867623	0.000992915396389198	0.024017654740707	0.0222609337585845	CDKN2A/NOTCH1/EPHB3/PTPRK/KANK1/SFRP1/TTYH1/PRKX/RSU1/KIF14/GCNT2/FZD7/MDK/HACD1/GBP1/VEGFA/ITGA6/MAP4K4/CX3CL1/MMP12/MSLN/ITGB4/FERMT1	23
GO:0090329	regulation of DNA-templated DNA replication	6/430	33/11986	0.181818181818182	5.06807610993658	4.51395328403925	0.00100037110635213	0.0240513465387812	0.0222921612407527	MCM2/MCM6/GMNN/MCM5/CDT1/E2F8	6
GO:0044843	cell cycle G1/S phase transition	17/430	203/11986	0.083743842364532	2.33431091763089	3.69850832025551	0.00102707454595748	0.0245446067699598	0.0227493429868705	CDKN2A/TFDP1/SKP2/CCNE1/EZH2/CCNA2/KIF14/RRM2/CCNB2/RBL1/CDK1/ID4/CCNE2/MYC/RFWD3/CCL2/RGCC	17
GO:0065004	protein-DNA complex assembly	16/430	186/11986	0.0860215053763441	2.39779944986247	3.70603753914799	0.00107790598442296	0.0256051080251849	0.0237322761020447	MCM2/CHAF1B/GMNN/CDT1/NASP/HJURP/CENPE/HMGB2/CENPN/DLGAP5/CENPF/CDC45/KNTC1/CENPI/H2BC11/TSPYL5	16
GO:0031109	microtubule polymerization or depolymerization	12/430	119/11986	0.100840336134454	2.8108657416455	3.82947062618516	0.00114979721416799	0.0271502711226454	0.0251644214855188	TPX2/STMN1/KIF18B/KIF2C/AURKB/KIF18A/CDK5RAP2/CRYAB/MID1/SKA1/CEP192/TUBGCP3	12
GO:1901989	positive regulation of cell cycle phase transition	10/430	88/11986	0.113636363636364	3.16754756871036	3.93661072541377	0.00117727166448398	0.0275010228939705	0.0254895182541863	TFDP1/CDC20/CCNE1/EZH2/RRM2/DLGAP5/CDK1/SKA1/CCNE2/RGCC	10
GO:0071459	protein localization to chromosome, centromeric region	6/430	34/11986	0.176470588235294	4.91901504787962	4.4141346586572	0.00117851623190698	0.0275010228939705	0.0254895182541863	TTK/AURKB/CDK1/KNTC1/SPDL1/H2BC11	6
GO:0008406	gonad development	17/430	206/11986	0.0825242718446602	2.30031609844209	3.63127704825557	0.001207297836819	0.0278450611550056	0.0258083925581931	FOXC1/NOTCH1/MSH2/SFRP1/NASP/PRDX4/HMGB2/KIF18A/VEGFA/FANCG/FANCA/NUDT1/ASPM/KIT/BRIP1/PTX3/DMRT1	17
