feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	2	1
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	2	1
er_status_ihc_esr1_for indeterminate_P	-0.6917301621055955	0.6917301621055955	clinical_only	elastic_net_logreg	2	2
er_status_ihc_esr1_for indeterminate_N	0.43229020635946475	0.43229020635946475	clinical_only	elastic_net_logreg	2	2
grade_3	0.258428133820164	0.258428133820164	clinical_only	elastic_net_logreg	2	2
grade_2	-0.2373285654541985	0.2373285654541985	clinical_only	elastic_net_logreg	2	2
age_years	-0.10166842507345072	0.10166842507345072	clinical_only	elastic_net_logreg	2	2
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	2	2
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	2	2
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	2	2
