gene_symbol	mutual_information
NELL2	0.0433048227373922
SLC52A2	0.0432347401232854
DRG1	0.0431360536916067
DIPK1A	0.0430821624436971
TSC22D3	0.0430821624436971
PTCH1	0.0430821624436971
TCIM	0.0430682054151759
RPH3AL	0.043041752456767
TMEM121	0.0429686674267927
GATAD2A	0.0429455281337043
CAD	0.0429455281337042
NDUFS5	0.0429455281337042
SCRG1	0.0429455281337041
TPD52L1	0.0428952635019819
ATPAF2	0.0428923017726124
DAPK1	0.0428923017726123
ANTKMT	0.0428923017726123
ADGRL2	0.0428838609988661
ECHDC1	0.0428838609988661
UBA6	0.0428511545087984
REEP2	0.0428343170819135
EIF4EBP3	0.0428112058000937
TOX3	0.0428112058000937
LOC389906	0.0428112058000936
SLPI	0.0428112058000935
BCL11A	0.0428112058000935
NET1	0.0426765604956324
YBX1	0.0426765604956324
TP53BP2	0.0426489121858179
ACVR1B	0.0426354435746258
PFN2	0.0426281300674763
GMPR2	0.0426281300674763
RMND5B	0.0426281300674763
AP2M1	0.0426108656492272
BCAS1	0.0425755396522531
SAP30BP	0.0425548625600132
ADAM17	0.0425130241845162
FANCA	0.0425130241845162
MAP4K4	0.0425130241845162
RBMS1	0.0424820690246177
HHEX	0.0424055372573527
CBFB	0.0424055372573526
LNPEP	0.0423619534491396
ATP6AP1	0.0423552683583234
CST4	0.0423552683583234
TBC1D17	0.0423552683583234
CASP5	0.042313924259931
STS	0.0422987161221906
LY6D	0.0422887088849806
MKI67	0.0422482631815879
ZDHHC13	0.0422482631815879
IFNA2	0.0422375152441283
IDUA	0.0422375152441283
SPRED2	0.0421512113004304
DCAF10	0.0421407110930641
MEGF9	0.0421272915953119
PGGT1B	0.0421272915953119
MID1	0.0421272915953118
SIRT5	0.0421272915953118
TOM1L1	0.0421203541807022
LARP4B	0.0421203541807022
TPI1	0.0421203541807022
TMEM258	0.0420992251457483
TRIM62	0.0420937905782456
RTN1	0.0420596737449052
KLHL4	0.0419880838405063
SLC30A1	0.0418454460242838
CARD10	0.0418454460242836
MYBL2	0.0418454460242836
RAB31	0.0418454460242836
SEPHS2	0.0418385445836733
PSME1	0.0418306176199317
ZBTB7A	0.0418164903878285
AURKA	0.0418164903878283
