SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENTREZID
SCUBE2	-1.83970323898904	9.50277815735714	-4.98435055244977	1.0602700246378e-06	7.35364938896398e-05	5.25272666246037	57758
MAGOH	0.512424726927044	9.27717632406123	4.9814417814215	1.07507936614868e-06	7.41690997630297e-05	5.23976985184261	4116
HJURP	0.878056369422213	8.42485372492177	4.97919533535264	1.08665336227193e-06	7.45730167929669e-05	5.22976764489729	55355
ZSCAN32	-0.285587673887105	9.30605416983674	-4.96600320257085	1.15709206280639e-06	7.89912220258249e-05	5.17110673586115	54925
IL12RB2	1.12020079534302	5.84657301440817	4.95430920776239	1.22320729612187e-06	8.22410139305976e-05	5.11921695924464	3595
DNAJA1	0.397750558135412	11.8686983664286	4.95286273463118	1.23163487715141e-06	8.22410139305976e-05	5.11280567565617	3301
RASAL1	0.798876468589577	7.89418075527211	4.9522769644949	1.23506369455188e-06	8.22410139305976e-05	5.11020978220925	8437
ADIRF	-1.74446676323248	9.00955905883333	-4.95220439023255	1.23548915150621e-06	8.22410139305976e-05	5.10988818077933	10974
TPSB2	-0.835249554113122	8.36842247477211	-4.95207760679427	1.23623274257206e-06	8.22410139305976e-05	5.10932636942923	64499
POLR1E	0.471994843166451	9.30129561952041	4.94690464090656	1.26694419876742e-06	8.38562711052204e-05	5.08641389835763	64425
TP53TG1	-0.449567648109395	9.65974260057824	-4.92477930772972	1.406830318709e-06	9.22014776208776e-05	4.98864247683305	11257
STOML2	0.478174553016888	10.1699619992211	4.9247281649141	1.40717033871882e-06	9.22014776208776e-05	4.98841690566989	30968
YWHAB	-0.338599207473564	13.6192592190476	-4.91652707375155	1.46273475333631e-06	9.53629922437607e-05	4.95227063005573	7529
PLAAT1	0.863772154979611	7.91618129770407	4.90922660118963	1.51397635993031e-06	9.82126256573699e-05	4.92013659572033	57110
ITPK1	-0.438492478958235	10.5168899105034	-4.90338709821671	1.55620796550879e-06	0.000100452453773609	4.89446223896817	3705
DNALI1	-1.52093823073001	6.57293818217007	-4.90184477028204	1.56755080977268e-06	0.000100662693105423	4.88768544277538	7802
JADE2	-0.397558776266793	9.79454951666326	-4.90085051367639	1.57490523763373e-06	0.000100662693105423	4.88331775805451	23338
CHI3L2	0.830513791769722	9.11642117852721	4.89704388690153	1.60337189116586e-06	0.000101982273604447	4.86660248870853	1117
SNAPC3	0.35972540236995	8.70518044822789	4.89571199000949	1.61344896013955e-06	0.000102125053355629	4.86075659102676	6619
HPS5	0.404092360313579	8.68782918768707	4.89260295371359	1.6372104650603e-06	0.000102844456726918	4.84711578809574	11234
